id,название,цена,бренд,скидка,рейтинг,в наличии,id продавца,изображения
160228771,Кроссовки Sb danke low TOYOTA AE-86,5138.0,dunk,30,4,99,1163292,
159281827,Кроссовки 530 мужские и женские,4505.0,New balance,47,4,99,1163292,
160215584,Кроссовки,4410.0,dunk,51,4,99,1163292,
158874090,Кроссовки SB LOW,3960.0,dunk,45,5,99,1163292,
160059176,Кроссовки,3942.0,dunk,46,4,99,1163292,
168597006,Кроссовки Nike SB Low,4860.0,dunk,46,4,99,1163292,
167561019,Кроссовки Jordan 1 Nike SB Low Voodoo,4860.0,dunk,46,5,99,1163292,
167747722,Кроссовки Sb danke low SUZUKI RG500,5400.0,dunk,40,5,99,1163292,
156487383,Кроссовки Air Force,3796.0,dunk,48,4,99,1163292,
167486607,Кроссовки 2002r,4950.0,New balance,45,4,131,1163292,
168530831,Кроссовки Данки Nike Sb Mummy джорданы 1,7600.0,dunk,60,5,99,1163292,
169240949,Кроссовки Originals Campus 00s,5130.0,adidas,43,5,84,1163292,
171871312,Кроссовки,4770.0,dunk,47,5,87,1163292,
172758700,Кроссовки ADI2000,3600.0,adidas,60,3,99,1163292,
173308655,КРОССОВКИ МУЖСКИЕ И ЖЕНСКИЕ,4050.0,adidas,55,0,94,1163292,
172901543,Кроссовки,3600.0,adidas,60,0,99,1163292,
169378910,Кроссовки SB LOW,3420.0,dunk,62,0,99,1163292,
